"CCLE_ID" "model_id" "model_name" "synonyms" "model_type" "growth_properties" "doi" "pmed" "model_treatment" "model_comments" "msi_status" "mutational_burden" "ploidy" "parent_id" "crispr_ko_data" "sample_id" "tissue" "tissue_status" "cancer_type" "cancer_type_detail" "cancer_type_ncit_id" "age_at_sampling" "sampling_day" "sampling_month" "sampling_year" "sample_treatment" "sample_treatment_details" "sample_site" "tnm_t" "tnm_n" "tnm_m" "tnm_integrated" "tumour_grade" "patient_id" "species" "gender" "ethnicity" "smoking_status" "model_relations_comment" "COSMIC_ID" "BROAD_ID" "RRID" "HCMI" "suppliers" "supplier" "cat_number"
"22RV1_PROSTATE" "SIDM00499" "22RV1" "CWR22-Rv1;CWR22-R1" "Cell Line" "Adherent" "" NA "" "Cell line was derived from a human prostate carcinoma xenograft (CWR22R) that was serially propagated in nude mice after castration-induced regression and relapse of the parental, androgen-dependent CWR22 xenograft (DSMZ)." "MSI" 157.24 2.039090596 "" "True" "SIDS00942" "Prostate" "Tumour" "Prostate Carcinoma" "Prostate Carcinoma" "C4863" NA NA NA NA "Unknown" "" "Prostate" NA NA NA NA NA "SIDP00842" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "924100" "ACH-000956" "CVCL_1045" NA "DSMZ:ACC-438" "DSMZ" "ACC-438"
"2313287_STOMACH" "SIDM00980" "23132-87" "St 23132" "Cell Line" "Adherent" "" NA "" "" "MSI" 164.87 2.026137951 "" "True" "SIDS00443" "Stomach" "Tumour" "Gastric Carcinoma" "Gastric Adenocarcinoma" "C4004" 72 NA NA 1987 "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00380" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "910924" "ACH-000948" "CVCL_1046" NA "DSMZ:ACC-201" "DSMZ" "ACC-201"
"253JBV_URINARY_TRACT" "SIDM01624" "253JB-V" "" "Cell Line" "Adherent" "10.1016/S0022-5347(01)66923-4" NA "Unknown" "" "" 32.71 NA "SIDM01529" "False" "SIDS01236" "Bladder" "Metastasis" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 53 NA 4 1972 "Unknown" "" "Retroperitoneal Lymph Node" NA NA NA NA NA "SIDP01127" "Homo Sapiens" "Male" "White" "Unknown" "253JB-V was derived from 253J following implantion into the muscular wall of the bladder of athymic nude mice. (10.1016/S0022-5347(01)66923-4)." "" "ACH-000026" "CVCL_7937" NA "KCLB:80002" "KCLB" "80002"
"253J_URINARY_TRACT" "SIDM01529" "253J" "" "Cell Line" "Adherent" "10.1093/jnci/53.5.1341" NA "Unknown" "" "" 26.24 NA "" "True" "SIDS01236" "Bladder" "Metastasis" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 53 NA 4 1972 "Unknown" "" "Retroperitoneal Lymph Node" NA NA NA NA NA "SIDP01127" "Homo Sapiens" "Male" "White" "Unknown" "253JB-V was derived from 253J following implantion into the muscular wall of the bladder of athymic nude mice. (10.1016/S0022-5347(01)66923-4)." "" "ACH-000011" "CVCL_7935" NA "KCLB:80001" "KCLB" "80001"
"42MGBA_CENTRAL_NERVOUS_SYSTEM" "SIDM00982" "42-MG-BA" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 27.21 3.833744325 "" "True" "SIDS00444" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 63 NA NA 1990 "None" "" "Temporal Lobe" NA NA NA NA NA "SIDP00381" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "687561" "ACH-000323" "CVCL_1798" NA "DSMZ:ACC-431" "DSMZ" "ACC-431"
"5637_URINARY_TRACT" "SIDM00807" "5637" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 50.71 2.988819246 "" "True" "SIDS00057" "Bladder" "Tumour" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 68 NA 3 1974 "Unknown" "" "Urinary Bladder" NA NA NA NA NA "SIDP00045" "Homo Sapiens" "Male" "White" "Unknown" "" "687452" "ACH-000905" "CVCL_0126" NA "ATCC:HTB-9" "ATCC" "HTB-9"
"59M_OVARY" "SIDM01528" "59M" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "True" "SIDS01237" "Ovary" "Metastasis" "Ovarian Carcinoma" "High Grade Ovarian Serous Adenocarcinoma" "C105555" NA NA NA NA "Unknown" "" "Ascites" NA NA NA NA NA "SIDP01128" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000520" "CVCL_2291" NA "ECACC:89081802" "ECACC" "89081802"
"639V_URINARY_TRACT" "SIDM00999" "639-V" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 145.37 2.406085668 "" "True" "SIDS00445" "Bladder" "Tumour" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 69 NA NA 1973 "Unknown" "" "Left ureter" NA NA NA NA NA "SIDP00382" "Homo Sapiens" "Male" "White" "Unknown" "" "906798" "ACH-000973" "CVCL_1048" NA "DSMZ:ACC-413" "DSMZ" "ACC-413"
"647V_URINARY_TRACT" "SIDM00983" "647-V" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 48.89 2.502375099 "" "True" "SIDS00446" "Bladder" "Tumour" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00383" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "906797" "ACH-000896" "CVCL_1049" NA "DSMZ:ACC-414" "DSMZ" "ACC-414"
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01076" "697" "Line 697;EU-3" "Cell Line" "Suspension" "" NA "" "" "MSS" 25.97 1.98303841 "" "True" "SIDS00442" "Haematopoietic and Lymphoid" "Tumour" "B-Lymphoblastic Leukemia" "Childhood B Acute Lymphoblastic Leukemia" "C9140" 12 NA NA 1979 "Unknown" "" "Bone marrow" NA NA NA NA NA "SIDP00379" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "906800" "ACH-000070" "CVCL_0079" NA "DSMZ:ACC-42" "DSMZ" "ACC-42"
