"S/N" "All" "Boruta" "SPS"
1 1 1 1
2 1 1 1
3 0.888888888888889 0.888888888888889 0.888888888888889
4 1 1 1
5 1 1 1
6 0.888888888888889 0.888888888888889 1
7 1 1 1
8 1 1 1
9 0.888888888888889 0.888888888888889 1
10 1 1 1
11 1 1 1
12 1 1 1
13 0.888888888888889 0.888888888888889 0.888888888888889
14 1 1 0.777777777777778
15 0.888888888888889 0.888888888888889 0.888888888888889
16 0.888888888888889 0.888888888888889 0.888888888888889
17 0.888888888888889 0.888888888888889 1
18 1 0.888888888888889 0.888888888888889
19 1 1 1
20 0.888888888888889 0.888888888888889 0.444444444444444
21 1 0.888888888888889 0.888888888888889
22 0.888888888888889 0.888888888888889 0.777777777777778
23 1 1 1
24 0.888888888888889 0.888888888888889 1
25 1 1 1
26 1 1 1
27 1 1 1
28 1 1 1
29 0.888888888888889 0.888888888888889 0.888888888888889
30 0.888888888888889 0.888888888888889 1
31 1 1 1
32 1 1 1
33 0.888888888888889 0.888888888888889 1
34 1 1 1
35 1 1 1
36 1 1 0.888888888888889
37 0.888888888888889 0.888888888888889 0.888888888888889
38 0.888888888888889 0.888888888888889 0.888888888888889
39 0.888888888888889 0.888888888888889 0.777777777777778
40 1 1 1
41 0.888888888888889 0.888888888888889 0.888888888888889
42 1 1 0.555555555555556
43 1 1 1
44 0.888888888888889 0.888888888888889 0.888888888888889
45 0.888888888888889 0.888888888888889 0.888888888888889
46 1 1 0.777777777777778
47 0.888888888888889 0.888888888888889 0.888888888888889
48 1 1 1
49 0.888888888888889 0.888888888888889 0.666666666666667
50 1 1 0.888888888888889
51 1 1 1
52 1 1 0.888888888888889
53 0.888888888888889 0.888888888888889 0.888888888888889
54 1 1 0.777777777777778
55 0.888888888888889 0.888888888888889 0.777777777777778
56 0.888888888888889 0.888888888888889 0.888888888888889
57 1 1 0.888888888888889
58 1 1 1
59 0.888888888888889 0.888888888888889 1
60 0.888888888888889 0.888888888888889 0.888888888888889
61 1 1 1
62 1 1 1
63 1 1 0.888888888888889
64 0.888888888888889 0.888888888888889 0.888888888888889
65 0.888888888888889 0.888888888888889 0.888888888888889
66 1 1 0.777777777777778
67 1 1 0.777777777777778
68 1 1 1
69 1 1 1
70 0.777777777777778 0.888888888888889 0.777777777777778
71 1 1 1
72 0.888888888888889 0.888888888888889 0.888888888888889
73 1 1 0.888888888888889
74 1 1 0.444444444444444
75 1 1 1
76 1 1 0.888888888888889
77 1 1 0.888888888888889
78 1 1 1
79 1 1 1
80 1 1 1
81 1 1 1
82 1 1 1
83 1 1 1
84 1 1 1
85 0.777777777777778 0.888888888888889 0.555555555555556
86 0.888888888888889 0.888888888888889 1
87 1 1 0.888888888888889
88 1 1 0.888888888888889
89 0.888888888888889 0.888888888888889 0.666666666666667
90 1 1 1
91 0.888888888888889 0.888888888888889 0.888888888888889
92 0.888888888888889 0.888888888888889 0.888888888888889
93 0.888888888888889 0.888888888888889 1
94 1 1 1
95 1 1 1
96 1 1 0.888888888888889
97 1 1 1
98 1 1 1
99 1 1 1
100 0.888888888888889 0.888888888888889 1
101 1 1 1
102 1 1 0.888888888888889
103 1 1 0.777777777777778
104 0.888888888888889 0.888888888888889 0.888888888888889
105 1 1 1
106 0.888888888888889 0.888888888888889 0.888888888888889
107 1 1 1
108 1 1 1
109 1 1 1
110 1 0.888888888888889 1
111 1 1 1
112 1 1 1
113 1 1 1
114 0.888888888888889 0.888888888888889 0.888888888888889
115 1 1 1
116 0.888888888888889 0.888888888888889 0.888888888888889
117 1 1 0.888888888888889
118 0.888888888888889 1 0.888888888888889
119 1 1 1
120 0.888888888888889 0.888888888888889 0.777777777777778
121 0.888888888888889 0.888888888888889 0.777777777777778
122 1 1 1
123 1 1 1
124 1 1 1
125 1 1 0.888888888888889
126 0.888888888888889 0.888888888888889 0.888888888888889
127 0.888888888888889 0.888888888888889 1
128 1 1 1
129 1 1 1
130 1 1 1
131 1 1 1
132 0.888888888888889 0.777777777777778 0.888888888888889
133 1 1 1
134 1 1 1
135 1 1 1
136 0.888888888888889 0.888888888888889 1
137 1 1 1
138 1 1 1
139 1 1 0.777777777777778
