,pert_iname,mean,n,median,sd,sRGES
10470,MW-SHH-250,-0.06093241,1,-0.06093241,NA,-0.06093241
608,BRD-A84238007,-0.060042923,2,-0.060042923,0.022209237,-0.060042923
4926,BRD-K51644197,-0.057043338,7,-0.05668855,0.013052662,-0.057043338
7417,BRD-K81164606,-0.056302938,9,-0.053440248,0.00919956,-0.056302938
3523,BRD-K35158088,-0.056282527,1,-0.056282527,NA,-0.056282527
4242,BRD-K43638827,-0.056282527,1,-0.056282527,NA,-0.056282527
8100,BRD-K89288521,-0.056282527,1,-0.056282527,NA,-0.056282527
157,anastrozole,-0.055449732,1,-0.055449732,NA,-0.055449732
2095,BRD-K18067885,-0.055228223,1,-0.055228223,NA,-0.055228223
11286,SA-419172,-0.055065422,2,-0.055065422,0.009292095,-0.055065422
6139,BRD-K66383562,-0.054770374,7,-0.053440248,0.005218982,-0.054770374
7118,BRD-K77634909,-0.0539369,7,-0.051746028,0.013713197,-0.0539369
5209,BRD-K55082668,-0.053465001,8,-0.052975357,0.006056571,-0.053465001
3822,BRD-K38596298,-0.05334587,1,-0.05334587,NA,-0.05334587
4809,BRD-K50269042,-0.05334587,1,-0.05334587,NA,-0.05334587
6222,BRD-K67485291,-0.05334587,1,-0.05334587,NA,-0.05334587
8529,BRD-K94719962,-0.053233681,1,-0.053233681,NA,-0.053233681
1451,BRD-K09701578,-0.052928678,8,-0.052952558,0.007581966,-0.052928678
4590,BRD-K47533918,-0.052798964,10,-0.052975357,0.00639674,-0.052798964
6249,BRD-K67774729,-0.052521287,9,-0.052510466,0.006957098,-0.052521287
1874,BRD-K15232561,-0.052488638,1,-0.052488638,NA,-0.052488638
9071,caffeic-acid-phenethyl-ester,-0.052480838,8,-0.050188871,0.007474902,-0.052480838
572,BRD-A73594579,-0.052423439,5,-0.052464867,0.008029388,-0.052423439
9737,gangaleoidin,-0.052375468,4,-0.049239365,0.014221569,-0.052375468
5618,BRD-K60298771,-0.051968143,9,-0.052510466,0.007681417,-0.051968143
631,BRD-A93507363,-0.051746028,1,-0.051746028,NA,-0.051746028
11029,RO-15-4513,-0.051746028,1,-0.051746028,NA,-0.051746028
4459,BRD-K46088987,-0.051668763,8,-0.052975357,0.006894923,-0.051668763
431,BRD-A15113563,-0.051376576,8,-0.05179894,0.007423699,-0.051376576
8093,BRD-K89205986,-0.051164455,4,-0.051404025,0.011400293,-0.051164455
5279,BRD-K55851396,-0.051144203,9,-0.053440248,0.009639243,-0.051144203
2274,BRD-K19914944,-0.05112417,7,-0.052464867,0.018799512,-0.05112417
4967,BRD-K52047316,-0.05112312,1,-0.05112312,NA,-0.05112312
1996,BRD-K16705018,-0.050826862,1,-0.050826862,NA,-0.050826862
4565,BRD-K47214596,-0.050826862,1,-0.050826862,NA,-0.050826862
6340,BRD-K68866125,-0.050685912,8,-0.052952558,0.007372795,-0.050685912
8537,BRD-K94818765,-0.050463572,3,-0.046013862,0.009100175,-0.050463572
1144,BRD-K05928130,-0.050409214,1,-0.050409214,NA,-0.050409214
2482,BRD-K22496535,-0.050409214,1,-0.050409214,NA,-0.050409214
2554,BRD-K23410901,-0.050409214,1,-0.050409214,NA,-0.050409214
3196,BRD-K31060354,-0.050409214,1,-0.050409214,NA,-0.050409214
4354,BRD-K44833108,-0.050409214,1,-0.050409214,NA,-0.050409214
6428,BRD-K69947829,-0.050409214,1,-0.050409214,NA,-0.050409214
6658,BRD-K72443777,-0.050409214,1,-0.050409214,NA,-0.050409214
8759,BRD-K97489107,-0.050409214,1,-0.050409214,NA,-0.050409214
734,BRD-K00842536,-0.050370832,1,-0.050370832,NA,-0.050370832
1340,BRD-K08212968,-0.050178872,1,-0.050178872,NA,-0.050178872
1512,BRD-K10486333,-0.050178872,1,-0.050178872,NA,-0.050178872
417,BRD-A11731846,-0.050098898,4,-0.050241782,0.009059596,-0.050098898
3448,BRD-K34079378,-0.050081602,4,-0.050253596,0.010215943,-0.050081602
11256,SA-1973509,-0.049956989,10,-0.05480441,0.010716713,-0.049956989
8859,BRD-K98803880,-0.049905159,3,-0.044444444,0.009550027,-0.049905159
11585,syringic-acid,-0.049905159,3,-0.044444444,0.009550027,-0.049905159
2320,BRD-K20278954,-0.049885747,1,-0.049885747,NA,-0.049885747
1024,BRD-K04363266,-0.049673772,2,-0.049673772,0.023881925,-0.049673772
2147,BRD-K18710049,-0.049581649,8,-0.045698637,0.007444436,-0.049581649
2016,BRD-K16956545,-0.049520954,7,-0.052464867,0.00894314,-0.049520954
6597,BRD-K71701252,-0.049467799,8,-0.049239365,0.007218335,-0.049467799
4031,BRD-K41172353,-0.049232537,8,-0.047028094,0.00808874,-0.049232537
275,BAY-36-7620,-0.049219177,1,-0.049219177,NA,-0.049219177
7566,BRD-K82987299,-0.049109938,7,-0.049262164,0.007289786,-0.049109938
429,BRD-A14014306,-0.048900306,7,-0.046013862,0.006031436,-0.048900306
10726,pentamidine,-0.048760258,8,-0.047322788,0.009798758,-0.048760258
3574,BRD-K35860134,-0.048699204,7,-0.051746028,0.008210244,-0.048699204
6946,BRD-K75627148,-0.048699204,7,-0.051746028,0.008210244,-0.048699204
1009,BRD-K04104496,-0.048563035,1,-0.048563035,NA,-0.048563035
1282,BRD-K07572455,-0.048563035,1,-0.048563035,NA,-0.048563035
5622,BRD-K60362139,-0.048563035,1,-0.048563035,NA,-0.048563035
6945,BRD-K75614533,-0.048563035,1,-0.048563035,NA,-0.048563035
7933,BRD-K87410008,-0.048563035,1,-0.048563035,NA,-0.048563035
8483,BRD-K94206926,-0.048563035,1,-0.048563035,NA,-0.048563035
3556,BRD-K35584941,-0.04847688,2,-0.04847688,0.009726444,-0.04847688
544,BRD-A65142661,-0.048231992,5,-0.044444444,0.008577997,-0.048231992
5900,BRD-K63549648,-0.048212727,2,-0.048212727,0.004996843,-0.048212727
5021,BRD-K52785744,-0.048112163,9,-0.046013862,0.006490894,-0.048112163
2285,BRD-K19981693,-0.048049243,1,-0.048049243,NA,-0.048049243
143,AMN-082,-0.048042325,1,-0.048042325,NA,-0.048042325
620,BRD-A88878656,-0.048042325,1,-0.048042325,NA,-0.048042325
6270,BRD-K68020183,-0.048042325,1,-0.048042325,NA,-0.048042325
10178,l-buthionine-sulfoximine,-0.047963812,3,-0.045057168,0.007059086,-0.047963812
6107,BRD-K65997856,-0.047944979,6,-0.045229153,0.011978629,-0.047944979
2639,BRD-K24282403,-0.047915045,1,-0.047915045,NA,-0.047915045
2748,BRD-K25525438,-0.047915045,1,-0.047915045,NA,-0.047915045
3911,BRD-K39703302,-0.047915045,1,-0.047915045,NA,-0.047915045
4510,BRD-K46653995,-0.047915045,1,-0.047915045,NA,-0.047915045
5791,BRD-K62374815,-0.047915045,1,-0.047915045,NA,-0.047915045
8880,BRD-K98990727,-0.047915045,1,-0.047915045,NA,-0.047915045
3329,BRD-K32581454,-0.047770186,13,-0.052464867,0.010426797,-0.047770186
6725,BRD-K73205140,-0.047742631,1,-0.047742631,NA,-0.047742631
