"","pert_iname","mean","n","median","sd","sRGES"
"30","5-methoxytryptamine",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"35","6-hydroxytropinone",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"143","AMN-082",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"620","BRD-A88878656",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"1257","BRD-K07395346",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"4740","BRD-K49477212",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"4930","BRD-K51731619",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"6270","BRD-K68020183",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"9854","hesperidin",-0.0952625246345287,1,-0.0952625246345287,NA,-0.0952625246345287
"608","BRD-A84238007",-0.0925250617274551,2,-0.0925250617274551,0.00454658070159159,-0.0925250617274551
"3334","BRD-K32602441",-0.0920006830604665,3,-0.0901310347043186,0.00353991753305796,-0.0920006830604665
"8859","BRD-K98803880",-0.0914452792468749,3,-0.0893101436821478,0.00371933981428786,-0.0914452792468749
"3448","BRD-K34079378",-0.0911706800962522,4,-0.0925250617274551,0.00595993037642772,-0.0911706800962522
"10470","MW-SHH-250",-0.0897875988203815,1,-0.0897875988203815,NA,-0.0897875988203815
"503","BRD-A44244100",-0.0894611522627479,3,-0.0893101436821478,0.000282974760527631,-0.0894611522627479
"11585","syringic-acid",-0.0894611522627479,3,-0.0893101436821478,0.000282974760527631,-0.0894611522627479
"22","3,6-dimethoxyflavone",-0.0893101436821478,1,-0.0893101436821478,NA,-0.0893101436821478
"118","AM-630",-0.0893101436821478,1,-0.0893101436821478,NA,-0.0893101436821478
"157","anastrozole",-0.0893101436821478,1,-0.0893101436821478,NA,-0.0893101436821478
"435","BRD-A17664363",-0.0893101436821478,1,-0.0893101436821478,NA,-0.0893101436821478
