"","pert_iname","mean","n","median","sd","sRGES"
"10470","MW-SHH-250",-0.110885785511081,2,-0.110885785511081,0.0823034932569891,-0.110885785511081
"608","BRD-A84238007",-0.110441041924873,4,-0.114144745628576,0.0637174186171532,-0.110441041924873
"157","anastrozole",-0.108144446486813,2,-0.108144446486813,0.0744467512438052,-0.108144446486813
"631","BRD-A93507363",-0.106292594634961,2,-0.106292594634961,0.0770656652481999,-0.106292594634961
"11029","RO-15-4513",-0.106292594634961,2,-0.106292594634961,0.0770656652481999,-0.106292594634961
"8859","BRD-K98803880",-0.105372159694714,6,-0.106737338221169,0.0638949106196848,-0.105372159694714
"11585","syringic-acid",-0.105372159694714,6,-0.106737338221169,0.0638949106196848,-0.105372159694714
"4926","BRD-K51644197",-0.104703416877441,14,-0.104259722367767,0.0534132622090492,-0.104703416877441
"572","BRD-A73594579",-0.104653644622334,10,-0.100499730016205,0.0594424428922936,-0.104653644622334
"143","AMN-082",-0.104440742783109,2,-0.104440742783109,0.0796845792525945,-0.104440742783109
"620","BRD-A88878656",-0.104440742783109,2,-0.104440742783109,0.0796845792525945,-0.104440742783109
"6270","BRD-K68020183",-0.104440742783109,2,-0.104440742783109,0.0796845792525945,-0.104440742783109
"6139","BRD-K66383562",-0.103566934726539,14,-0.098634078607999,0.0574759940346912,-0.103566934726539
"7118","BRD-K77634909",-0.103150197639672,14,-0.106111574219618,0.0554978350878072,-0.103150197639672
"3448","BRD-K34079378",-0.102988312596633,8,-0.0968523149603592,0.0605126199293671,-0.102988312596633
"22","3,6-dimethoxyflavone",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"30","5-methoxytryptamine",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"35","6-hydroxytropinone",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"118","AM-630",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"435","BRD-A17664363",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"459","BRD-A29721261",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"491","BRD-A40560522",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"1350","BRD-K08325710",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"1626","BRD-K12182524",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"2365","BRD-K20914082",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3220","BRD-K31412180",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3232","BRD-K31553917",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3412","BRD-K33619512",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3551","BRD-K35514965",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3807","BRD-K38455110",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"3969","BRD-K40378749",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4078","BRD-K41666683",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4101","BRD-K41931739",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4236","BRD-K43581698",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4505","BRD-K46594703",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4585","BRD-K47448802",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4740","BRD-K49477212",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4767","BRD-K49791723",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"4930","BRD-K51731619",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"5117","BRD-K53923665",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
"5251","BRD-K55557659",-0.102588890931258,2,-0.102588890931258,0.0823034932569891,-0.102588890931258
