"","pert_iname","mean","n","median","sd","sRGES"
"7006","BRD-K76252019",-0.0373569721391017,1,-0.0373569721391017,NA,-0.0373569721391017
"2468","BRD-K22384978",-0.0363622282412625,1,-0.0363622282412625,NA,-0.0363622282412625
"2270","BRD-K19882533",-0.0362031162867796,1,-0.0362031162867796,NA,-0.0362031162867796
"7857","BRD-K86631041",-0.0359242345719788,2,-0.0359242345719788,0.00227177875329124,-0.0359242345719788
"4902","BRD-K51390937",-0.0355999787044973,1,-0.0355999787044973,NA,-0.0355999787044973
"4976","BRD-K52178187",-0.0355101619264425,1,-0.0355101619264425,NA,-0.0355101619264425
"5310","BRD-K56301236",-0.0355101619264425,1,-0.0355101619264425,NA,-0.0355101619264425
"8933","BRD-K99597257",-0.0355101619264425,1,-0.0355101619264425,NA,-0.0355101619264425
"1337","BRD-K08138210",-0.0346893573874828,1,-0.0346893573874828,NA,-0.0346893573874828
"2482","BRD-K22496535",-0.0346893573874828,1,-0.0346893573874828,NA,-0.0346893573874828
"8029","BRD-K88581223",-0.0346893573874828,1,-0.0346893573874828,NA,-0.0346893573874828
"8394","BRD-K93062774",-0.0341677336856958,1,-0.0341677336856958,NA,-0.0341677336856958
"87","alendronic-acid",-0.033974809215321,1,-0.033974809215321,NA,-0.033974809215321
"3633","BRD-K36467636",-0.0335435527312003,1,-0.0335435527312003,NA,-0.0335435527312003
"2340","BRD-K20554239",-0.0334331432161753,1,-0.0334331432161753,NA,-0.0334331432161753
"11422","SD-169",-0.0333809784178247,2,-0.0333809784178247,0.00932817571025761,-0.0333809784178247
"11868","viomycin",-0.0332650887650802,1,-0.0332650887650802,NA,-0.0332650887650802
"3732","BRD-K37461197",-0.0331170247521994,1,-0.0331170247521994,NA,-0.0331170247521994
"6299","BRD-K68338581",-0.0331170247521994,1,-0.0331170247521994,NA,-0.0331170247521994
"1176","BRD-K06370852",-0.0325929447840532,1,-0.0325929447840532,NA,-0.0325929447840532
